scenario,time,reachable_fraction,mean_path_cost,max_path_cost,network_efficiency
intermediate,67,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,68,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,69,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,70,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,71,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,72,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,73,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,74,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,75,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,76,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,77,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,78,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,79,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,80,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,81,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,82,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,83,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,84,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,85,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,86,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,87,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,88,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,89,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,90,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,91,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,92,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,93,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,94,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,95,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,96,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,97,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,98,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,99,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,100,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,101,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,102,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,103,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,104,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,105,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,106,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,107,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,108,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,109,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,110,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,111,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,112,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,113,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,114,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,115,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,116,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,117,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,118,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,119,0.8888888888888888,11.984375,22,0.10688145420554938
spread,0,1.0,11.0,22,0.1121245832571381
spread,1,1.0,11.0,22,0.1121245832571381
spread,2,1.0,11.0,22,0.1121245832571381
spread,3,1.0,11.0,22,0.1121245832571381
spread,4,1.0,11.0,22,0.1121245832571381
spread,5,1.0,11.0,22,0.1121245832571381
spread,6,1.0,11.0,22,0.1121245832571381
spread,7,1.0,11.0,22,0.1121245832571381
spread,8,1.0,11.0,22,0.1121245832571381
spread,9,1.0,11.0,22,0.1121245832571381
spread,10,0.9722222222222222,11.321428571428571,22,0.11003975061537848
spread,11,0.9722222222222222,11.321428571428571,22,0.11003975061537848
spread,12,0.9722222222222222,11.321428571428571,22,0.11003975061537848
spread,13,0.9722222222222222,11.321428571428571,22,0.11003975061537848
spread,14,0.9722222222222222,11.321428571428571,22,0.11003975061537848
spread,15,0.9375,11.622222222222222,22,0.10858794967509315
spread,16,0.9375,11.622222222222222,22,0.10858794967509315
spread,17,0.9375,11.622222222222222,22,0.10858794967509315
spread,18,0.9375,11.622222222222222,22,0.10858794967509315
spread,19,0.9375,11.622222222222222,22,0.10858794967509315
spread,20,0.9375,11.622222222222222,22,0.10858794967509315
spread,21,0.9375,11.622222222222222,22,0.10858794967509315
spread,22,0.9375,11.622222222222222,22,0.10858794967509315
spread,23,0.9375,11.622222222222222,22,0.10858794967509315
spread,24,0.9375,11.622222222222222,22,0.10858794967509315
spread,25,0.9375,11.622222222222222,22,0.10858794967509315
spread,26,0.9375,11.622222222222222,22,0.10858794967509315
spread,27,0.9375,11.622222222222222,22,0.10858794967509315
spread,28,0.9375,11.622222222222222,22,0.10858794967509315
spread,29,0.9375,11.622222222222222,22,0.10858794967509315
spread,30,0.9375,11.622222222222222,22,0.10858794967509315
spread,31,0.9375,11.622222222222222,22,0.10858794967509315
spread,32,0.9375,11.622222222222222,22,0.10858794967509315
spread,33,0.9375,11.622222222222222,22,0.10858794967509315
spread,34,0.9375,11.622222222222222,22,0.10858794967509315
spread,35,0.9375,11.622222222222222,22,0.10858794967509315
spread,36,0.9375,11.622222222222222,22,0.10858794967509315
spread,37,0.9375,11.622222222222222,22,0.10858794967509315
spread,38,0.9375,11.622222222222222,22,0.10858794967509315
spread,39,0.9375,11.622222222222222,22,0.10858794967509315
spread,40,0.9375,11.622222222222222,22,0.10858794967509315
spread,41,0.9375,11.622222222222222,22,0.10858794967509315
spread,42,0.9375,11.622222222222222,22,0.10858794967509315
spread,43,0.9375,11.622222222222222,22,0.10858794967509315
spread,44,0.9375,11.622222222222222,22,0.10858794967509315
spread,45,0.9375,11.622222222222222,22,0.10858794967509315
spread,46,0.9375,11.622222222222222,22,0.10858794967509315
spread,47,0.9375,11.622222222222222,22,0.10858794967509315
spread,48,0.9375,11.622222222222222,22,0.10858794967509315
spread,49,0.8888888888888888,11.984375,22,0.10688145420554938
spread,50,0.8888888888888888,11.984375,22,0.10688145420554938
spread,51,0.8888888888888888,11.984375,22,0.10688145420554938
spread,52,0.8888888888888888,11.984375,22,0.10688145420554938
spread,53,0.8888888888888888,11.984375,22,0.10688145420554938
spread,54,0.8888888888888888,11.984375,22,0.10688145420554938
spread,55,0.8888888888888888,11.984375,22,0.10688145420554938
spread,56,0.8888888888888888,11.984375,22,0.10688145420554938
spread,57,0.8888888888888888,11.984375,22,0.10688145420554938
spread,58,0.8888888888888888,11.984375,22,0.10688145420554938
spread,59,0.8888888888888888,11.984375,22,0.10688145420554938
spread,60,0.8888888888888888,11.984375,22,0.10688145420554938
spread,61,0.8888888888888888,11.984375,22,0.10688145420554938
