interval,perturbation_density,recovery_beta,gamma,decay,structural_reachable,effective_reachable,accessible_fraction,effective_edges,structural_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,mean_r,min_r,mean_D,max_D,regime
16,0.0625,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.12350212553912,64.06390008223303,0.10545820838998529,0.8888888888888888,0.0,0.1834880411806749,8.444794621478003,trapped
16,0.0625,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11710550854911,64.00633052932295,0.10549830784744935,0.8888888888888888,0.0,0.15201605400199292,6.996338000852469,fragile
16,0.0625,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.111817560320269,63.95873899526339,0.10553195054173896,0.8888888888888888,0.0,0.1261512837684623,5.805946130360979,fragile
16,0.0625,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,13.093179987011213,63.693451633006205,0.10557369524003375,0.888968175430888,0.0,0.10485968684660572,4.826028518229922,strained
16,0.0625,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.371566635948202,53.08481926934042,0.10677724132773728,0.8963508984714478,0.0,0.0873035748116158,4.018031661687298,strained
16,0.0625,0.048,0.132,0.016,144,128,0.8888888888888888,228,264,0.8636363636363636,12.013718269854616,48.73703266676026,0.10799526916995036,0.9063068569277052,0.0,0.07280344145376605,3.350682185377236,strained
16,0.0625,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.792630699594815,45.09352880485936,0.10887154936729534,0.9154797744837223,0.0,0.060807345822818756,2.798577736438199,healthy
16,0.0625,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.439248578367163,35.21463974109238,0.10993427928708302,0.9270912430765742,0.0,0.050866335721478584,2.341055883266344,healthy
20,0.05,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.132800952088344,64.14758952117603,0.10540104558291719,0.8888888888888888,0.0,0.22960313807136845,10.567181016174988,trapped
20,0.05,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.125536445014951,64.08220895751552,0.10544558974863585,0.8888888888888888,0.0,0.19353970679510077,8.90740924841173,trapped
20,0.05,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11946555720227,64.02757096720137,0.10548343783896214,0.8888888888888888,0.0,0.16360412975349464,7.529663874025877,trapped
20,0.05,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.114384101876668,63.98183786927095,0.10551556531431056,0.8888888888888888,0.0,0.1386877702763313,6.3829213553002395,fragile
20,0.05,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,13.110123051480848,63.94348841570857,0.1055428276004885,0.8888888888888888,0.0,0.11789198618542773,5.425822873512226,fragile
